clid	calldate	src	dst	dcontext	channel	lastapp	billsec
4742575201	2019-11-13 12:00:54	4742575201	s	incoming	Local/s@incoming-000113a5;2	Dial	2
84746720536	2019-11-13 12:00:33	84746720536	909800	incoming	DAHDI/i1/84746720536-13c2e	Dial	27
4742431442	2019-11-13 12:01:29	4742431442	s	incoming	Local/s@incoming-000113a7;2	Dial	2
4742575201	2019-11-13 12:00:54	4742575201	909800	incoming	DAHDI/i1/4742575201-13c2f	Dial	75
4742575201	2019-11-13 12:02:18	4742575201	s	incoming	Local/s@incoming-000113a9;2	Dial	2
4742431442	2019-11-13 12:01:29	4742431442	909800	incoming	DAHDI/i1/4742431442-13c32	Dial	83
8633061150	2019-11-13 12:03:06	8633061150	s	incoming	Local/s@incoming-000113ab;2	Dial	2
4742575201	2019-11-13 12:02:18	4742575201	909800	incoming	DAHDI/i1/4742575201-13c33	Dial	51
84746720536	2019-11-13 12:03:42	84746720536	s	incoming	Local/s@incoming-000113ae;2	Dial	2
84746720536	2019-11-13 12:03:42	84746720536	909800	incoming	DAHDI/i1/84746720536-13c39	Dial	10
8633061150	2019-11-13 12:03:06	8633061150	242717	incoming	SIP/megafon-0004819d	Dial	71
84742340542	2019-11-13 12:05:58	84742340542	s	incoming	Local/s@incoming-000113b0;2	Dial	2
84742340542	2019-11-13 12:05:58	84742340542	909800	incoming	DAHDI/i1/84742340542-13c40	Dial	42
4742277484	2019-11-13 12:06:47	4742277484	s	incoming	Local/s@incoming-000113b2;2	Dial	2
4742277484	2019-11-13 12:06:47	4742277484	909800	incoming	DAHDI/i1/4742277484-13c42	Dial	16
4742277296	2019-11-13 12:07:35	4742277296	s	incoming	Local/s@incoming-000113b4;2	Dial	2
84747522630	2019-11-13 12:08:10	84747522630	s	incoming	Local/s@incoming-000113b6;2	Dial	2
4742575201	2019-11-13 12:08:20	4742575201	s	incoming	Local/s@incoming-000113b8;2	Dial	2
4742575201	2019-11-13 12:08:20	4742575201	909800	incoming	DAHDI/i1/4742575201-13c48	Dial	32
4742277296	2019-11-13 12:07:35	4742277296	909800	incoming	DAHDI/i1/4742277296-13c46	Dial	102
4742575201	2019-11-13 12:10:17	4742575201	s	incoming	Local/s@incoming-000113ba;2	Dial	2
84747522630	2019-11-13 12:08:10	84747522630	909800	incoming	DAHDI/i1/84747522630-13c47	Dial	131
4742333782	2019-11-13 12:10:21	4742333782	s	incoming	Local/s@incoming-000113bc;2	Dial	2
4742333782	2019-11-13 12:10:21	4742333782	909800	incoming	DAHDI/i1/4742333782-13c4f	Dial	28
84742431949	2019-11-13 12:13:13	84742431949	s	incoming	Local/s@incoming-000113be;2	Dial	2
84742431949	2019-11-13 12:13:13	84742431949	909800	incoming	DAHDI/i1/84742431949-13c52	Dial	15
84742431949	2019-11-13 12:13:34	84742431949	s	incoming	Local/s@incoming-000113c0;2	Dial	2
4742575201	2019-11-13 12:10:17	4742575201	909800	incoming	DAHDI/i1/4742575201-13c4e	Dial	259
84742431949	2019-11-13 12:13:34	84742431949	909800	incoming	DAHDI/i1/84742431949-13c56	Dial	65
4742772704	2019-11-13 12:20:11	4742772704	s	incoming	Local/s@incoming-000113c2;2	Dial	2
8632107591	2019-11-13 12:20:17	8632107591	s	incoming	Local/s@incoming-000113c4;2	Dial	2
89050451955	2019-11-13 12:20:17	89050451955	s	incoming	Local/s@incoming-000113c6;2	Dial	2
